TF	target	importance
TCF7L2	PECAM1	47.76027691338928
BACH2	FCER2	47.75925535098415
NEAT1	RXRA	47.74213351286336
RORA	PTPN13	47.735164835584214
BACH2	ITGAL	47.72456734850871
EBF1	WDFY4	47.714855785256816
MYBL1	IL2RB	47.670518180546836
MEF2C	NCF1	47.63271175921432
NEAT1	CXCR4	47.622016411994025
MAFB	TNFSF10	47.60337433340655
RUNX2	CLEC4C	47.60279961864484
BACH1	VCAN	47.57067934866915
TCF7L2	RHOC	47.57047608081928
TCF7L2	DRAP1	47.52823581876229
NEAT1	CTNNB1	47.52288041937103
NEAT1	XAF1	47.50724535420766
SPI1	TCF7L2	47.462373186761454
MEF2C	CD3G	47.43541074916896
TCF4	MAP1A	47.389169090113164
KLF4	NR4A1	47.36894004398318
RUNX3	KLRK1	47.31796722853282
LEF1	NPM1	47.304331345580245
NEAT1	MAPK14	47.264606380255074
CIITA	HLA-DPA1	47.254371315703864
MAFB	CEBPB	47.23801978134547
PAX5	TRERF1	47.178885684742625
NEAT1	KLF12	47.12950585402186
CREB5	KLF12	47.12246975722493
NEAT1	PRKCB	47.06884274541622
CREB5	BACH1	47.005937458628864
CIITA	HLA-DMA	46.971718573258514
TCF7L2	HCK	46.963693389131635
TCF7	CCR7	46.95021321654403
ZBTB16	ABCB1	46.897580352081356
ZEB2	CREB5	46.89502008566671
FOSB	KLF4	46.884167965654754
EBF1	HLA-DOB	46.88348709523503
BACH2	CFLAR	46.87163350522809
FOSB	DUSP1	46.848919964135725
ETS1	KLF12	46.820171149609365
ZEB2	ITGB2	46.819453892980036
FOS	TNFAIP3	46.80047782239215
MEF2C	ZEB2	46.791517844410876
NEAT1	HIF1A	46.71399758360865
TCF7L2	SETBP1	46.68730682944002
NEAT1	IL2RG	46.68162140292464
ZEB2	FOXO3	46.633453803071816
KLF4	TYMP	46.622235220686974
TCF7	ATM	46.617058432246296
FOXP3	CTLA4	46.604509892390595
MYBL1	ZBTB16	46.55748304956516
NEAT1	ZFHX3	46.53437899964798
NEAT1	RFX2	46.406320135443785
HOPX	RUNX3	46.3253187874912
NEAT1	UBB	46.26803587440094
EBF1	CD24	46.13685487660777
CREB5	MCL1	46.133952918100775
JUN	TSC22D3	46.11364408027944
NEAT1	NCL	46.10750515185437
LEF1	CCND3	46.093916495081594
LEF1	BTG1	46.09092511119345
MEF2C	PRKCE	46.00460005087103
NEAT1	PFKFB4	45.995108198559194
ZEB2	TPT1	45.98527797947707
MEF2C	TCF4	45.96894677183296
EIF2AK2	DDX58	45.91274004716745
MEF2C	HLA-DMA	45.89284805715356
TRIM22	EIF2AK2	45.88334493737917
BACH1	TLR2	45.85527734330885
NEAT1	DAPK1	45.831882097558804
KLF4	BACH1	45.80707198934157
RUNX2	FCER1A	45.753944373333226
TCF4	HLA-DQA1	45.67730049297995
CEBPD	CTSD	45.622333118759926
CREB5	LRP1	45.61775728717037
NEAT1	NPM1	45.61547683592716
TCF7L2	FGL2	45.4787091910423
SETBP1	CDKN1C	45.44864635108826
MYBL1	CCL4	45.42224167762907
CEBPB	IFITM3	45.41973430355041
ZEB2	ADGRE5	45.391653043414934
TRPS1	VCAN	45.38162653360898
PAX5	NCOA3	45.348259263850125
NEAT1	BTF3	45.29443036141257
CREB5	PLSCR1	45.29227647216333
TSC22D3	JUNB	45.24092294426761
FOS	S100A9	45.23608794507996
HOPX	CD99	45.20572710340954
CIITA	CD74	45.15579987029942
NEAT1	FTH1	45.089202589251386
ETS1	LTB	45.023741309703404
ZEB2	ITGAX	45.00893878930525
STAT4	CD8B	44.99318137976477
MEF2C	NCOA3	44.98682235400139
SPI1	CSF1R	44.96852527846467
NEAT1	TBL1X	44.96379331090015
ZEB2	LYZ	44.959082061311086
BCL11A	HLA-DPB1	44.92712437249737
TCF7L2	EPB41L3	44.90922381780423
LEF1	PRKN	44.84814347407905
TCF4	DAB2	44.80259244100891
NEAT1	MAP3K1	44.79937172291849
BACH1	EPSTI1	44.794916307711375
IRF8	NRP1	44.76389979197179
RUNX2	SCN9A	44.75084432385916
TCF7L2	NEAT1	44.72707734078336
JUNB	TNFAIP3	44.71278111202409
CREB5	COP1	44.63448605617723
NEAT1	ATF3	44.61624879539049
BACH1	NAMPT	44.60930095330364
CIITA	HLA-DMB	44.55427341512777
FOXP3	DUSP4	44.53674644087908
NEAT1	SMARCD3	44.535029964807315
CREB5	SYK	44.53021914584943
TCF7L2	POU2F2	44.51295644655129
FOS	NR4A2	44.46411741813714
MLLT3	FHIT	44.44010947888739
BACH2	PRKCA	44.38474688017922
BACH1	JAK2	44.35728956132861
CREB5	CSF2RA	44.34821251294611
EBF1	HIP1R	44.34464663925011
TCF7L2	PAPSS2	44.32090916614379
HOPX	TGFBR3	44.291808468190304
TCF7	NR3C2	44.242621058079564
LEF1	APBB1	44.2346408953843
BACH2	GAPDH	44.21779392664633
LEF1	ZEB1	44.20127506584841
MAFB	SAMD4A	44.19959568765475
KLF6	JUN	44.150423012510444
HOPX	KLRK1	44.135053165336736
EIF2AK2	XAF1	44.094542839168824
NEAT1	CHD1	44.06068194028976
SPI1	CEBPA	44.035040221888984
IRF8	CLEC4C	44.03190919932743
LEF1	RNF144A	44.02921048816203
ETS1	IL32	43.929062342146736
RORA	IL2RG	43.90102321215702
MAL	BCL2	43.886452105493056
PAX5	E2F5	43.875895704021254
CREB5	HLA-C	43.868993426805325
PTMA	CNBP	43.837112933805955
NEAT1	MAFB	43.825701685369985
RORA	PRKCQ	43.8038528012616
KLF4	CD86	43.79977606286196
ETS1	CD3G	43.7329648237149
KLF6	BACH2	43.72753046144901
ZEB2	GNLY	43.69137515634217
BACH2	S100A10	43.65784384737752
EBF1	ARID5B	43.639692640434845
AHR	VIM	43.63646087429137
NEAT1	DGKG	43.62419998652359
NPM1	PTMA	43.607391637538946
SPI1	CEBPB	43.59109819907071
TCF4	PTGDS	43.522599044794596
SPI1	LGALS9	43.51344064515278
STAT1	XAF1	43.485846960085695
MEF2C	SPI1	43.40100005217146
JUN	SLC2A3	43.383521484847996
STAT4	MYBL1	43.32531555802824
LEF1	CYLD	43.321266071939725
PTMA	HSP90AB1	43.3199719929122
SETBP1	UCP2	43.31767959367327
LEF1	RASGRP1	43.25879474766204
CREB5	RFX2	43.241035079679946
LEF1	DNMT3A	43.240591939341776
BACH1	VMP1	43.240394373129824
TCF4	WDFY4	43.23437854285566
ZEB2	JAK2	43.22776454286665
PTMA	HNRNPA1	43.188710200487016
RORA	ZAP70	43.169621110611146
